                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3931,                 2.4028,                 1.1861,                0.63641,                0.34888,                0.40988,                0.25789,                 1.2736,                 2.2567,                 1.2022,             0.00054963,             0.00054963,             0.00054963
                      2,                 1.3817,                  1.702,                 1.2028,                0.43738,                0.51557,                0.43203,                 0.2694,                 1.3619,                 2.0458,                 1.3328,              0.0010998,              0.0010998,              0.0010998
                      3,                 1.3774,                 1.5074,                 1.2082,                0.65854,                0.59088,                0.58653,                0.33251,                  1.434,                 1.7011,                 1.3478,              0.0016445,              0.0016445,              0.0016445
                      4,                 1.3516,                 1.3631,                 1.2152,                0.72135,                0.62918,                0.67227,                0.40652,                 1.3278,                 1.3014,                  1.259,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.3568,                 1.2168,                 1.1845,                0.80639,                0.62865,                0.69657,                0.42446,                 1.3269,                  1.434,                 1.2687,               0.001634,               0.001634,               0.001634
                      6,                  1.354,                 1.1833,                 1.1724,                0.76918,                0.65679,                0.75158,                0.47478,                  1.289,                 1.1686,                 1.2226,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.3085,                 1.1211,                 1.1579,                0.80084,                0.69054,                0.76642,                0.48792,                 1.3041,                 1.1044,                 1.2389,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.3158,                 1.1378,                 1.1848,                0.69445,                0.62521,                0.65628,                0.40426,                 1.3313,                 1.3361,                 1.2836,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2736,                 1.0852,                 1.1516,                0.77898,                0.64263,                  0.721,                0.46865,                 1.2707,                 1.1902,                 1.2386,               0.001601,               0.001601,               0.001601
                     10,                 1.3046,                 1.0603,                 1.1534,                 0.7348,                0.71408,                0.73396,                0.43768,                 1.3468,                 1.1192,                 1.2474,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2648,                0.99705,                 1.1321,                0.80474,                0.75453,                0.80694,                0.52103,                 1.2027,                0.93839,                 1.1565,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2706,                0.99289,                 1.1341,                0.76642,                0.74729,                0.81055,                0.52968,                 1.1794,                0.96736,                 1.1526,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2471,                0.93324,                 1.1154,                0.84289,                0.72173,                0.81718,                0.52836,                 1.2251,                0.97309,                  1.194,               0.001568,               0.001568,               0.001568
                     14,                  1.282,                0.94674,                 1.1297,                0.79078,                0.74018,                0.79473,                0.50613,                 1.2136,                 1.0941,                 1.1718,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.2152,                0.94336,                 1.1131,                0.80246,                0.73198,                 0.8155,                0.52972,                  1.208,                 1.0063,                 1.1668,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2404,                 0.9342,                 1.1329,                0.82272,                0.72604,                0.79648,                0.51943,                 1.2137,                 1.0021,                 1.1781,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.2502,                0.93234,                 1.1302,                 0.7516,                0.75092,                0.80728,                 0.5344,                 1.1731,                 1.0496,                 1.1489,               0.001535,               0.001535,               0.001535
                     18,                 1.2124,                0.90013,                 1.1018,                0.82067,                0.76237,                0.81653,                0.54103,                 1.1703,                0.91238,                 1.1539,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.1892,                0.87609,                 1.1063,                0.76814,                0.73389,                0.77987,                0.52466,                 1.1677,                0.92453,                 1.1448,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.2189,                0.88241,                  1.105,                0.81552,                0.78138,                0.83419,                0.55175,                 1.1784,                0.85294,                 1.1578,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.2095,                0.86776,                 1.0839,                0.82315,                0.76184,                0.82947,                0.56397,                 1.1124,                0.86865,                 1.1296,               0.001502,               0.001502,               0.001502
                     22,                 1.1786,                 0.8484,                 1.0972,                0.83278,                0.76752,                0.82569,                0.55952,                 1.1213,                0.86918,                 1.1293,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.1928,                0.82918,                 1.0974,                 0.8122,                0.77194,                0.83532,                0.54294,                 1.1796,                0.90974,                 1.1532,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.1746,                0.85369,                 1.1003,                 0.8227,                  0.751,                0.81049,                0.52411,                 1.1973,                0.98321,                 1.1583,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.1516,                0.80581,                 1.0823,                0.84178,                0.76599,                0.85399,                0.57256,                   1.14,                0.81736,                 1.1209,               0.001469,               0.001469,               0.001469
                     26,                 1.2113,                0.83808,                 1.0916,                0.83989,                0.79607,                0.84942,                0.57239,                 1.1476,                 0.8147,                 1.1281,              0.0014607,              0.0014607,              0.0014607
                     27,                  1.186,                 0.8327,                 1.0923,                0.83129,                0.80549,                0.86548,                0.57967,                 1.1402,                0.78354,                 1.1249,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.1794,                0.83033,                 1.0972,                0.78943,                0.77705,                0.83088,                0.54727,                 1.1484,                0.83357,                 1.1249,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.1769,                0.80602,                 1.0877,                0.79742,                0.75391,                0.80345,                0.52569,                 1.1583,                0.90312,                 1.1366,               0.001436,               0.001436,               0.001436
                     30,                  1.178,                0.81368,                 1.0866,                0.84444,                0.76791,                0.84262,                0.56744,                 1.1318,                0.78213,                 1.1274,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.1631,                 0.7897,                 1.0689,                0.79353,                0.79924,                0.83654,                0.55917,                 1.1424,                0.86748,                 1.1205,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.1372,                0.80486,                 1.0738,                0.81924,                0.79821,                0.85854,                0.56071,                 1.1669,                0.79267,                 1.1243,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.1439,                0.76863,                 1.0677,                0.80982,                 0.8058,                0.85853,                0.56524,                 1.1739,                0.77604,                  1.136,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.1646,                 0.7887,                   1.08,                 0.7485,                0.81156,                0.84569,                  0.566,                 1.1414,                0.80511,                 1.1276,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.1113,                0.76266,                 1.0732,                 0.8456,                  0.807,                0.86967,                0.57279,                 1.1234,                0.79978,                 1.1213,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.1296,                0.75338,                  1.068,                0.82126,                0.77114,                0.84923,                 0.5642,                 1.1128,                0.81385,                  1.097,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.1339,                0.76036,                 1.0696,                0.81957,                0.80111,                0.84863,                 0.5641,                 1.1702,                0.75757,                 1.1295,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.1349,                0.74346,                 1.0575,                0.82426,                0.79199,                0.86781,                0.59237,                 1.1236,                0.76843,                 1.1219,              0.0013617,              0.0013617,              0.0013617
                     39,                  1.109,                0.75355,                 1.0741,                0.81103,                0.82393,                0.85686,                0.58295,                 1.1164,                0.75239,                 1.1072,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.1267,                 0.7424,                 1.0607,                 0.8177,                0.80609,                0.85464,                0.57711,                 1.1336,                0.77145,                 1.1112,              0.0013452,              0.0013452,              0.0013452
                     41,                  1.114,                0.73384,                 1.0611,                 0.8346,                0.80382,                0.86673,                0.57608,                 1.1049,                0.75777,                  1.108,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.1195,                0.72036,                 1.0493,                0.85722,                0.78216,                0.86269,                0.58755,                 1.1055,                0.76011,                 1.0992,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.1465,                0.73479,                 1.0636,                0.88505,                0.77784,                0.87305,                0.59677,                 1.1179,                0.74373,                 1.0973,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.1036,                0.72692,                  1.043,                0.84225,                0.75276,                0.84123,                0.57327,                 1.0875,                0.76087,                 1.0968,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.1052,                 0.7084,                 1.0582,                0.84137,                0.80355,                0.86538,                0.58326,                 1.1056,                0.72592,                 1.0884,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.0802,                0.71538,                 1.0461,                0.82797,                0.78639,                0.83352,                0.55029,                  1.117,                0.78477,                 1.0998,              0.0012957,              0.0012957,              0.0012957
                     47,                  1.095,                0.70763,                 1.0488,                 0.8472,                0.78277,                  0.852,                0.58211,                 1.1123,                0.72928,                 1.1068,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.1127,                0.72826,                  1.058,                0.82023,                0.80344,                0.83884,                0.54776,                 1.1422,                0.81252,                 1.1214,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.0921,                0.71308,                 1.0473,                0.81858,                0.81703,                0.86268,                0.58418,                 1.0887,                0.74283,                 1.0883,              0.0012709,              0.0012709,              0.0012709
                     50,                  1.096,                0.71636,                 1.0437,                0.83981,                0.81516,                0.85114,                0.56444,                 1.1123,                0.73202,                 1.0989,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.0785,                0.70263,                 1.0458,                0.81204,                0.80464,                0.85039,                0.55474,                 1.1822,                0.75375,                 1.1238,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.0908,                0.69855,                 1.0597,                0.83273,                0.81806,                0.85631,                 0.5876,                 1.1003,                0.74562,                  1.106,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.0905,                0.70125,                 1.0452,                 0.8463,                0.83704,                0.87871,                0.59814,                 1.0874,                0.69985,                 1.0874,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.0768,                0.67661,                 1.0448,                0.83959,                0.84181,                0.88318,                 0.5971,                 1.1086,                0.70458,                 1.1036,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.0932,                0.68902,                 1.0378,                0.89289,                0.79247,                0.87245,                 0.5907,                 1.1009,                0.73774,                 1.0951,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.0652,                0.68151,                 1.0474,                0.84475,                0.81512,                0.87549,                0.59263,                 1.1143,                0.72188,                  1.092,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.0821,                0.69527,                 1.0509,                0.82848,                0.80814,                0.86339,                0.57036,                 1.1041,                0.72238,                 1.0851,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.0786,                 0.6826,                 1.0398,                0.86229,                0.80364,                0.88366,                0.60746,                 1.0872,                0.71174,                 1.0829,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.0843,                0.66956,                 1.0355,                0.85956,                 0.8348,                0.88816,                0.59912,                 1.0903,                0.70397,                 1.0908,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.0507,                 0.6668,                 1.0267,                0.80978,                0.84977,                0.86735,                 0.5851,                 1.1046,                 0.6946,                 1.0954,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.0792,                0.66873,                 1.0331,                0.85377,                0.82021,                 0.8802,                0.58796,                 1.0946,                0.69301,                 1.0881,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.0607,                0.65878,                 1.0366,                0.86522,                0.81819,                0.88445,                0.60531,                 1.0893,                0.67757,                 1.0811,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.0386,                0.64133,                 1.0273,                0.85898,                0.81152,                0.87744,                0.60813,                 1.0757,                0.67919,                 1.0772,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.0556,                0.65396,                 1.0332,                0.85755,                0.82023,                0.88738,                0.61642,                 1.0856,                0.69676,                 1.0973,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.0547,                0.66558,                 1.0268,                0.84011,                0.84221,                0.88883,                0.60546,                 1.0838,                0.70129,                 1.0911,              0.0011389,              0.0011389,              0.0011389
                     66,                  1.049,                0.65362,                 1.0203,                0.84333,                0.83072,                 0.8778,                0.60647,                 1.0828,                0.68206,                 1.0714,              0.0011306,              0.0011306,              0.0011306
